文件	增长	通胀	货币政策	市场
20081012 VOX Avinash Persaud Problems with suspending mark-to-market accounting rules	The US Economic Emergency Act of 2008允许SEC中断Mark-to-market会计规则			
20081013 GS Daily Learning the Lessons of the Japanese Experience	当前美国政府正在做日本政府在1990s缓慢在做的事情，这些事情都很正确，包括：1.大幅降息。2.注入流动性，央行大幅扩表。3.购买问题资产。4.注资银行。			
20081014 GS Daily Questions and Answers on the Bank Recapitalization and Debt Guarantee Programs	财政部决定给予TARP机制对银行注资2500亿美元——通过FDIC机构。其中1250先注资，11月再注资1250亿美元。虽然看起来2500亿美元没有欧洲政府宣布的那么多，但这已经是TARP第一轮可以使用的全部资金了，这说明财政部已经把银行注资看为解决问题的关键。			
20081014 Roubini From Financial Meltdown to Global Depression	"在最近的广泛金融冲击以前，美国经济就已经陷入衰退了。现在的美国经济是面临三个问题同时出现：衰退，严重金融危机，严重银行业危机。
  过去还有人认为衰退将是浅衰退，现在看将是深而长的衰退——衰退可能持续两年——甚至日本式的长期停滞也是有可能的。"			
20081018 GS UEA Tough Times for Job Seekers	随着经济进入深度衰退，失业问题才刚开始深化。Top-down的分析显示，根据奥肯定律，1pp的低于潜在增速将提高0.5pp失业率，我们预计未来一年的GDP增长将慢于趋势3.5pp，这对应于失业率上升1.75pp。由此我们预计失业率在2009年底上升至8%。我们基于分行业的分析也基本佐证这一预测。			
20081021 bwam What's the thaw line	"（写的太好了，太形象了）
我相信在我有生之年再也看不到这么多杠杆了，这也意味着有些基于这些杠杆的生意将会消失，重要的是判断哪些生意会消失。在继续存在与不存在的生意之间，存在一个“融雪线”thaw line。
  当前信贷紧缩严重，但政府的各类支持政策将救助其中一部分机构。在被救助与不被救助之间，存在一个“融雪线”thaw line。我们用雷曼事件以后，利率相对雷曼之前是上升还是下降来作为这个thaw line（然后广泛的考察了各类利率）。例如GE就是在这个thaw line附近的。每一次有新的救助措施出台的时候，就会有新的机构进入融雪线以下，但也就有相应机构距离融雪线越来越远，因为政府能救助的机构毕竟是有限的。政府可以无限的印钱，但不能无限的征税。悲剧的是，当前的情况并不是必然要发生的。
  这个thaw line也可以很好的解释最近股价变动。那些位于融雪线以下的企业，其股票在雷曼事件以后整体是震荡，而融雪线以上——得不到救助的企业——其股价在雷曼事件以后大幅下降。
  我们密切关注哪些资产负债表脆弱、流动性脆弱的公司。特别是最近刚刚完成LPO的公司，往往流动性很脆弱。"			
20081022 FOMC Greenbook	近期的经济和市场消息非常dismal。金融体系出现了广泛的loss of confidence. 最近的消费、投资数据、工业和就业数据显示，实际上在最近的大幅金融波动以前，经济数据已经不太好。很难精确估计近期市场波动对经济的抑制有多大，我们当前的预测是2008Q3的GDP年化下降到-1%，2008Q4年化为-1.25%。			
20081022 GS Daily Round 2 of Fiscal Stimulus_	最近几周，国会和两党候选人、伯南克均支持第二轮财政刺激。时点上，第二轮财政刺激可能在11月，也可能是2009年初。规模上，可能1500亿美元，也可能更大。			
20081023 FOMC Bluebook			（直到2008年10月23日，竟然）市场预期ffr在2009年下降到1%，然后开始回升，到2010年底回升至2.5%。	
20081025 GS UEA Fiscal Stimulus  It Pays to Be Bold	如果金融条件保持在当前状态，我们估计的居民和企业支出将在未来减少GDP的9%，第一年就减少GDP的6%，我们认为需要更为大胆的财政支出来补上。GDP的6%对应的财政支出是6000-9000亿美元，但也不需要这么天量刺激。我们认为3000-5000亿美元的财政刺激，部分可以支持金融市场信心，这总体上可以对冲。但就预测而言，看起来只会通过2000亿美元的财政刺激。			
20081029 FOMC Transcript	"伯南克：
  首先总结大家的看法。增长前景大幅恶化，消费、生产和就业在金融市场波动发生以前就已经比预期要差了。在全球各国政府对银行注资和担保存款以后，信贷市场条件温和改善，但大部分利率均比大幅波动（也就是雷曼事件以前）要高。…(各个指标都在恶化)…是否有新的财政刺激以及刺激效果都尚未有定论。重要的是，新兴市场直到最近都还没有明显被美国拖累，现在则被金融危机重创。
  在我看来，衰退将会很严重。最长的战后衰退持续16个月，如果2008年初NBER定义为衰退开始，那么这次有望在长度上打破记录。失业率最大上升是3.6pp，本次从4.4%开始，有可能升至8%（跟GS预期差不多，但实际上峰值是10%），有趣的是当前就业市场还没有预期的那么差（you will see..)。昨天公布的消费者信心从61下降到38，打破了1975年43的最低记录。
  当前的信贷紧缩不仅是紧缩那些脆弱的公司，连高评级公司也被紧缩。从理论上讲，当前的信贷紧缩应该过一段时间才能看到效果，但实际上当前已经看到经济大幅下滑，这里面可能有心理因素。一个可类比的案例是1980年Carter credit controls，当政府宣布紧缩信贷的时候，经济立刻就大幅下降，这可能是预期效应。
  另外一个重要的现象是，当前的危机是全球性的。在峰会上，我不断的听到EM国家——巴西、印度等等——的官员抱怨说，在雷曼事件以前，EM经济本来运行的挺好。现在雷曼事件以后，大宗下跌，汇率下跌，现在经济突然就转差了。
  （伯南克进行自我辩解：）What in the heck were you guys letting Lehman fail? ...First, Lehman was a sympom as well as a cause of the recent crisis and, second, the Fed and the Treasury simply had no tools to address both Lehman and the other companies that were under stress at the time. I think that criticism is appropriate, though, as directed toward the United States as a whole. "	"伯南克：
  大家看到通胀压力明显下降，商品价格大跌，美元走强，增长前景黯淡。"	"伯南克：
  具体而言，我建议降息50bp。至于下一次FOMC是否要降息，我们应该认真研究ffr的下限是多少。
  反对降息的一个观点是""keep the power dry""（做好准备）, 但2003年我们已经研究过，最好的避免ZLB的办法是避免经济走弱到进入那个零利率陷阱。"	
20081031 bwam A template for understanding what's going on	"（桥水对于典型的business cycle有几段很简洁的描述）
Expansion phase:
1.Eearly cycle (5-6Q): 利率敏感性需求回升（房车），消费回升（利率更低，信贷更充足），拉起average workweek和就业。这一阶段信贷回升，增长强劲(>4%)，通胀较低。股市表现最佳，商品最差。
2.Mid-cycle (3-4Q): 增长明显放缓(≈2%)，通胀较低，消费放缓，利率下降，股市表现一般，商品降价减速。
3.late-cycle (扩张2.5年以后, 具体取决于有多少slack): 增长温和 (3.5-4%)， 产能约束开始出现，但信贷和需求仍弱枪声，通胀开始尺上升，消费上升，利率走高，股市最后一涨，商品表现最佳。
4.Tightening phase: 联储紧缩，流动性下降，利率上升，曲线变平，股市走弱，经济走弱。

Recession phase:
5.Early part of the recession: 央行紧缩，经济收缩，产能利用率下降，失业上升，股市、商品价格下跌，通胀下降。
6.Late part of the recession: 由于通胀担忧下降和衰退担忧上升，央行放宽货币，在经济反弹以前，股市就已经反弹。"			
20081101 2008年秋季CCER中国经济观察（总第15期）会议下半场问答_	宋国青：这么多个人买房子在中国历史上是第一次，过去没有这样的现象。1993年炒房地产的基本上是机构，并且房地产与GDP的比例比现在低很多。现在大部分人买房子都是为了自己住。个人在一段时间基本不买房子对经济会造成多大影响，这方面没有经验，很难把握。现在看到的情况是房地产销售额大概跌了2/3，而房价没有跌多少。明年房地产实物量投资很可能大幅度下跌。现在房子的存量比较大，是很严重的问题。前几年尤其前两年的买房，有些人买是为了卖，有些人是在负利率和通胀预期的影响下把几年以后的购买提前实现了。两年以后住房购买和房地产投资的增长率会有所恢复，但不太可能恢复到过去几年的增长率。总之，我对明年房地产投资预期很悲观。			
20081101 2008年秋季CCER中国经济观察（总第15期）收入财富大调整_宋国青	目前宏观形势需要加快降息。从货币与总需求关系看，今年一季度存在严重通胀压力，到三季度通货紧缩前景就显现出来。过去几个月钢铁价格猛跌。宏观经济变动速度很快，利率一回降0.27%，十次才降2.7%，速度太慢。应当改变传统加息周期思维方式，在通货膨胀率迅速变化环境中，利率调整应尽可能一步到位。回顾1998年的通货紧缩经验，由于利率调整滞后，存款利率比企业投资税前报酬率还高，导致企业不愿投资从而引发通货紧缩。相比之下，亚洲金融危机只是次要因素。			
20081101 BCA, The Bank Credit Analyst Beyond The Tipping Point; Peering Into The Void Knowns And Unknowns	"[恶性循环已经开启]
  全球经济已经passed a tipping point, a deep recession is now taking hold. 经济前景极大恶化。市场崩盘、经济活动恶化的自我恶性循环已经进一步加剧。最近恶化程度的一个突出案例是BDI，在过去5个月跌去了90%。很少能见到一个指数在这么短时间跌去这么多。全球股市跌去了16万亿美元，按照0.07的财富效应估计，这将导致全球需求减少1万亿美元。
  当前经济面临三重问题：1.去杠杆。这是一个结构性问题，过去几年有大量的信贷overshoot，这个无论如何也要去杠杆。2.经济已经进入衰退。美国衰退在2008年初开始，欧日在年中开始，衰退有望在2009H2结束。3.信贷停滞(the credit freeze)，金融体系出了问题，金融体系就好比人体的血液循环系统，如果心脏停止跳动，啥都玩完。（总价一下，衰退是经济周期，去杠杆大的信贷周期，信贷停滞则是短的金融体系问题）
  政策已经愈发激进。最近也看到了一些好的迹象，例如商业票据的发行已经重新开始，美国银行间利率也从高位有回落迹象。不过TARP对资产对银行资产的购买还没有开始实际执行。
  政策何时可以稳住信贷市场？答案是不知道。如果我们知道答案的话，政府早就这么做了。至今为止，政策效果令人非常失望。大部分利差仍在高位。按道理来说，当前的政策应该是足够的了，因为政府已经担保了银行，这理应足以让银行间市场恢复政策。然而，市场仍然承压，这意味着市场在担心深度衰退对银行体系的冲击。此外，金融体系内部的信任的建立也是需要时间的。

[经济暗淡]
  毫无疑问，经济前景非常暗淡。消费者信心在10月份跌至历史低位，消费也明显走弱。消费者紧缩开支的压力是非常大的——财富大幅缩水，房价、股价下降；就业也开始走弱，真实工资仅仅走平；油价下降虽有帮助，但难以抵消其他影响。房地产依然承压，虽然最近existing home sales回升，但这是来自那些投机客，找低价房；如果房价回升，这些投机客会重新卖房，所以对于房地产企稳的作用是有限的。此外，房地产可能由于经济衰退而进一步走弱，因为失业将导致房贷违约率进一步上升。
  去杠杆意味着复苏乏力。本次衰退将会比1990-91,2000-01要严重，但比1980s初的要好一些（是吗）。但经济复苏相比历史而言将会很弱。一般而言，衰退的越深，复苏的也会越强，这是因为衰退期间会积累pent-up demand，包括但不限于库存等。然而，这次要去杠杆。
  去杠杆要进行多久？我们并不知道答案。如果进行历史比较的话，可能会找到1930s的美国和1990s的日本，但实际上这两个时期的制度背景和现在很不一样，当前金融体系也更为复杂，而且执政者也由于学习到历史而有所变化。因此，我们真的在uncharted waters. 去杠杆有两个抑制渠道：1.forced selling of assets导致的恶性循环。当前金融体系已经write down了6760亿美元，IMF的最新估计是总共要1.4万亿美元。2.unwinding of credit overshoot. 这意味着银行信贷要回归趋势线，甚至undershoot趋势线。"	短期而言，通缩风险大于通胀风险。	货币政策将长期保持低位。我们考察了历史上各国financial crisis以后货币政策从降息到第一次加息的时间，美国1990s S&L那一次是5年，英国1990是4年，日本1991是9年等，瑞士1992、挪威1992和芬兰1993等。	"金融市场对政府的疯狂救市反应冷淡，这可能是因为市场担心当前深度经济问题导致的各方面金融体系损失还有待显现。
  中性配置股票。由于跌的实在太凶，未来几个月股市可能反弹，但只是一个交易机会，很难形成上涨趋势。因为去杠杆意味着复苏乏力，当前股市盈利预期仍然太高。
  当然，股市估值已经很有吸引力。巴菲特已经表示股市估值很低并将购入股票。
  1980-1990s通胀水平的一次性降低成就了最强的一波牛市，但通胀水平已经很低，未来的通胀进一步降低很可能意味着经济过弱，因此难以促成大牛市了。（为什么错了）
  微弱高配债券。由于经济走弱，债券收益率将会走弱。最近收益率甚至回升，是因为市场担心债券供给过多。
  股市倾向于领先经济，但商品仅仅是同步指标。
  近期美元走强的原因有：1.美国相对欧日还好。2.美元是储备和避险货币。3.carry trade unwind。最近的欧元区政府的应对非常支离破碎，让人怀疑欧元区能否在当前危机下生存下去。"
20081101 GS UEA Getting to the End of the Rate Cut Road	最新数据显示Q3年化增速可能降至-2%，Q4降至-1%，还有进一步下行风险。		"如果按照Taylor Rule，未来ffr将进入-2%的负值区间了，但我们认为ffr很难从当前1%的水平再下降了，因为会伤及货币市场。
  进一步的刺激来自于财政和联储扩表。联储也可能承诺将保持利率for  a considerable period，就像2003年那样。"	
20081101 PIMCO The Paradox of Deleveraging Will Be Broken _ PIMCO	"McCulley:
  我最近写的少，是因为最近一直在PIMCO的Money Market and Funding Desk忙活。在2008.9.13-14日财政部和联储决定不救助雷曼以后，The financial world从此再不一样。不救助雷曼是对是错，我们并不清楚。但我知道的，全球金融体系在雷曼事件以前就已经千疮百孔。雷曼事件之后的政府大幅救助，在我看来早就是注定要发生的，而雷曼则是转折点。
  要理解雷曼事件，就得从头开始理解银行。传统银行的一个最关键特点是: In normal times, the public's collective, ex ante demand for access to at-par, immediately-available bank money is always greater than the sum of the public's individual, ex post demand for access to such liquidity. 银行的负债的相当一部分，实际上是de facto of perpetual maturity, 即illusion of liquidity，正是因此银行才能进行长期投资。
  银行之所以能有这个特点，是因为银行有存款保险。因此，银行确实是独特的机构。由于主权政府提供了liquidity safety net，因此政府天然的是银行的de facto equity partner. 由此，政府是有权力干涉银行的经营行为的。
  所谓影子银行，在过去30年兴起，影子银行的本质是一些新的liabilities——货币基金，金融公司是商业票据，结构性投资工具，投行回购，CDO的senior tranches——被认为具备商业银行一样的功能。但这实际上是一个误解。为什么公众会认为这些影子银行负债跟银行一样？一个原因是逐利，但更根本的原因，如凯恩斯所说，是convention，即It was a belief in a convention, undergirded by the length of time it held. Shadow Bank liabilities were viewed as ""just as good"" as conventional bank deposits not because they are, but because they had been. 
  银行既不完全是私人机构，也不完全是政府机构。政府提供的safety net是公共品，只能由政府提供。
  "			
20081110 GS Daily Money Markets Have Improved But Stresses Remain	"市场普遍使用TED spread ——3m LIBOR vs. 3m Treasuries——来衡量金融市场压力。但也有其他指标反映市场压力，例如asset-backed commercial paper. 我们考察了广泛的市场利率，发现可以用主成分分析法来捕捉金融市场压力，是第二主成分。第一主成分反映市场利率普遍水平，第二主成分是ovearl money markets state，第三主成分代表利率走势预期。
  结果显示，市场压力在雷曼之后不断上升，在10月中旬达到最高值，然后回落，现在比10月中旬低，但比9月初要高，大约是两者的中间。即市场压力在下降，但绝对水平仍高。"			
20081112 bwam Credit contraction, earnings and equity returns	"根据最新经济走势，我们预计企业盈利在大幅下行，而这将进一步导致失业，失业导致违约率上升，进而银行受损，信贷创造放缓，进而需求走弱，企业盈利继续走弱，如此恶性循环。关键是要有Credit creation. 然而当前联储所能做到的只是减缓credit contraction. 
  实际上，我们生活在credit contraction的年代，意识到这一点是非常关键的。（然后桥水后面主要把当前和1930s作比较）在过去50年，美国经济持续的有credit creation，Debt-to-GDP持续上升。一个结果是risk premium持续下降，而近期已经有所回升。
  1930s的一个启示是，在credit contraction年代，企业盈利回落以后难以强劲回升。如果根据1930s的经验，未来企业盈利将很黯淡，当前的股票需要跌至600点才能跟国债收益率相匹敌，这意味着市场远未discount未来股市黯淡盈利前景。
（平心而论，桥水给出的前景太过黯淡，其原因在于把2008年与1930s作比较。BCA比较的时间段显然更好，是与1990s作比较。因为1930s美国政府出现了政策失误，但当前不会再有政策失误。deleveraging并不必然伴随着长期的大萧条，但正如barnes所言，至少伴随着盈利的“弱”增长）"			
20081112 GS Daily Jawboning the Banks and Spreading the TARP	今天Paulson正式的宣布TARP不再用于最初的目的——即购买承压资产，而是更多的用于三点：1.对银行注资。2.帮助消费贷款进行证券化。3.想办法减少房贷foreclosures。这些表态显示，Paulson对于当前银行惜贷表示强烈的不满，财政部和监管部门正在催促银行放贷款。			
20081115 GS UEA Macro Policy in a Liquidity Trap	"当前利率已经接近零下限，但还有5种可能政策。有三种可能被施行：1.更大规模的财政刺激（高盛估计理想财政刺激规模的本质思路是看股市下跌带走了多少财富效应）2.两房更加支持房地产。3.承诺保持低利率for a ""considerable period"". 2003H2曾经用过，似乎有温和的抑制长端利率的作用，但不充分。
  还有两种可能用：1.买入长债。伯南克在2003年讲话中还曾经提到说，联储可以明确提出长端利率目标，然后通过买入长债来完成它。2.买入各种风险资产，不过更可能是财政部发国债去买，然后联储购买国债来支持。"			
20081117 中国货币政策执行报告 2008Q3	"2008年以来，我国经济社会发展经受了多方面严峻考验，克服了国内重特大自然灾害和国际经济金融环境的不利因素，国民经济保持平稳较快发展。前三个季度，实现国内生产总值（GDP）20.2万亿元，同比增长9.9%，居民消费价格指数(CPI)同比上涨7.0%；其中，第三季度GDP同比增长9.0%，CPI同比上涨5.3%。
  7月份以来，中国人民银行针对国际金融危机加剧、国内通胀压力减缓等新情况，及时调整金融宏观调控措施。调减了公开市场对冲力度，连续两次下调金融机构人民币存款准备金率，三次下调存贷款基准利率，取消了对商业银行信贷规划的约束，并引导商业银行扩大贷款总量。
  2008年9月末，广义货币供应量M2同比增长15.3%，增速比上年同期低3.2个百分点。贷款平稳增长，9月末人民币贷款余额为29.6万亿元，同比增长14.5%。前三个季度信贷投放均匀，新增贷款分别为1.33万亿元、1.12万亿元和1.03万亿元。前三个季度人民币贷款比年初增加3.5万亿元，同比多增1201亿元，是历史同期增量最高水平。企业支付能力总体上处于合理水平，9月末，企业人民币存款同比增长13.9%。人民币贷款利率小幅回落。9月份，金融机构1年期贷款加权平均利率比6月份下降0.09个百分点。人民币汇率保持稳定。9月末，人民币对美元汇率中间价为6.8183元。
  当前，国际金融市场剧烈动荡，世界经济受到严重冲击，对我国经济的负面影响已经显现并日益加重。出口增速可能进一步回落，企业利润和财政收入会有不同程度的下降，经济下行风险增大，宏观调控将面临更加复杂多变的局面。
  中国人民银行将实行适度宽松的货币政策。支持扩大内需。"			
20081120 GS Daily Labor Market Indicators Set the Wrong Kind of Records	当前各类经济数据显示GDP当季年化增速是-3.5%。就业数据尤其差。就业数据是滞后的，但滞后不超过几个月时间。由此可以想到就业数据到2009年初都会很差。最近的首申创造历史的差。			
20081121 bwam The balancesheet problem	"（我擦，这篇文章太牛逼了。从市场价格、交易者资产负债表动机分析的很清楚。牛逼牛逼）
即使美国政府决定给银行注资以后，仍然没能阻止信贷市场的自我紧缩。当前的一个典型特征是金融市场存在大量的套利空间，这等价于说没有套利者能来抹平套利机会，根本原因是套利者难以扩张资产负债表。
  第一个套利机会是Effective Fed Funds rate vs. Fed Funds Target. 现在前者明显低于后者。如果有银行愿意在银行间市场借钱，然后再存到联储，这样就可以赚无风险利润，但银行不愿意这么做，因为不愿意扩张资产负债表。
  第二个是Oil Future Curve, 当前远期油价很高，如果公司愿意在即期买入原油，同时卖出原油远期（现货存到未来进行交割），那么可以赚得无风险利润。但原油公司都很缺现金，没有公司愿意这么做。
  第三是30y swap spread.... 第四是Eurodollar-OIS Spread. 第五是CDS-Cashbasis （我记得这个Gavekal也说过，缺乏套利者）。第六是OIS - TBill Spread。"			
20081122 GS UEA What’s Needed to Stop the Rot	现在经济和金融数据极差，看起来Q3增长是-5%，Q4和2009Q1是-3%。现在继续大幅财政刺激，货币进一步的非常规的宽松政策——例如承诺长期低利率和买入长债——和更为直接的减轻信贷紧缩的措施。			
20081126 bwam The treasury supply and demand	（据说QE1开始于2008.11.25 这篇文章讨论了联储必须要购入国债来finance政府赤字，并且估计了规模）			
20081127 GS UEA Deflation The Best Defense is a Good Offense		当前市场已经开始担心通缩。TIPS显示的通缩预期非常强（可能有流动性因素）。不过我们认为政府会有刺激性政策，不是那么容易真的出现通缩。		
20081201 BCA, The Bank Credit Analyst Close To A Turning Point？; Barack's Budget Blues	"信贷市场紧张程度仍未消散。虽然现在实际ffr已经低至0.5%以下，但很多关键信贷利率仍创新高，例如企业债券利差。
  政策已经非常激进。联储正在进行Quantitative easing：联储已经开始买入商业票据，并且已经宣布将买入6000房贷支持债券——而这确实让房贷利率下降（这就是QE1了，但当时当然没有人说是QE1，因为还不知道有QE2）。大幅财政政策也正在制定当中。虽然深度衰退已经不可避免，但当前的激进政策应该可以避免日本式长期停滞——这是我们的期望，而非预测；毕竟当前信贷市场都尚未明显修复。私人部门的长期去杠杆将伴随着政府部门加杠杆。
  然而，当前的政策并不能保证让银行更愿意房贷，除非政府连银行放出的贷款也担保了，而这本质上干脆国有化银行好了。但国有化银行并不受欢迎，如果美国最终采用了中国式的国有控制银行，这多么讽刺。
  过去一年当中，居民的房产和股权财富减少了9万亿美元，接近GDP的60%。现在房地产仍未有好转，房价再度开启回落趋势，而这让更多的居民进入负资产区间，导致更多违约。从库存数据、建筑商指数等都可以看出来。当前已经进入了恶性循环阶段，企业将大幅结果，居民部门进一步走弱等。即使增长数据在2009Q2或Q3有所企稳，但可能直到2009年末都会有衰退的感觉。"	短期来说是通缩风险。		"近期经济趋势很昏暗，下行风险比上行风险更加明显，因此我们建议仍然谨慎的投资策略。对于手中现金极多的投资者，可以开始逐渐买入风险资产。
  中性配置股票。上个月我们以为将有反弹机会，但这显然说早了。但我们现在依然认为有短期反弹机会。当然，没有什么事情是确定的。类似的买入信号今年以来出现多次，我们在年初和年中都认为还要再等等，现在认为风险平衡已经移到可以买入的那个平衡，the risk/reward trade-off has improved significantly following the steep falls of Oct-Nov.
  债券。当前债券市场有多重不同力量。一方面是债券供给天量上升，但另一方面经济疲弱，通胀下降，风险偏好走弱。此外，许多发行的债券也是由于购买私人部门承压资产。所以总体上收益率还是有走低的趋势。Agency bonds比treasury的机会更大。长期投资者可以考虑买入企业债券。我们当前的Bond model可能对债券收益率有高估，因为没有考虑到去杠杆问题。"
20081201 PIMCO All In _ PIMCO	"在联储救助贝尔斯登的时候，联储很明确的表达了这种救助让联储很不开心，the Fed was not happy about making that loan, and didn't want to have to ever make such a loan again. 在雷曼问题上，联储可能依然是不开心，伯南克和Geithner decided it was just too stinky and took a pass. 
  实际上，本来应该由财政部出面救助，但财政部说自己没有国会的授权。然而，财政部其实是可以有其他办法的，例如Foreign Exchange Stabilization Fund，将近500亿美元。现在Paulson不就用FESF来保证美国货币市场共同基金嘛。所以，原则上Paulson是有工具救助雷曼的。
  现在联储和财政部已经All in了。TARP提供资本金，联储提供流动性，为新的的SPVs来支持，这些SPVs本质上是government-sponsered Shadow banks. 最近推行的Term Asset-backed Securities Loan Facility, TALF, 是很好的货币财政合作，财政部给200亿股权，联储给1800亿流动性，支持居民和企业债务的证券化。联储准备买入5000亿Agency MBS和1000亿Agency debentures，来压低长端房贷利率。
  现在可以“谨慎乐观”了。当然，谨慎乐观是一个优点含混不清的词汇。我认为政策制定者已经在朝着正确的方向在做事情，因此倒也可以把谨慎这个词去掉。I am flat out optimistic. 但谨慎的原因是，再通胀政策可能会在短期遇到不顺利。
  就投资策略而言，美国整个资本主义经济体系是不会垮掉的，因此整体上应该乐观。特别的，有一些关键部门是需要继续维持的，因此可以买入这些部门。例如银行部门受到三重支持：政府注资，FDIC担保负债，联储提供流动性。I'd tilt toward corporate bonds over corporate stocks. "			
20081201 Roubini Will Banks and Financial Markets Recover in 2009	人类历史上最大的资产和信贷泡沫正在破灭，这个泡沫不仅仅是美国房地产，而且是全球的。向前看，仍有很大下行风险，去杠杆让企业盈利走低，盈利可能大幅不及预期——现在预期还是太乐观。可能的信贷损失总计可能达到2万亿美元。这些都意味着风险资产将继续承压。美国经济可能要到2010年才会开始复苏，2009年将是通过的全球衰退和进一步的金融市场压力。（错了，2009H2美股很好）			
20081203 bwam The inevitability of bank failures	"从资产端结构而言，银行是非常没有效率的资产管理者，它们出问题毫不奇怪。
  任何金融机构都可以看做是资产管理者，它们的区别在于其资产和负债结构是不一样的。最极端的是对冲基金，几乎不受限制；但银行、保险等其资产和负债都多少受到一些限制。
  银行对于credit的暴露太多，这意味着在平时好日子里面它会拿到一些收益，但upside又不会很大，但在差日子则亏的一塌糊涂。这种收益非常不对称。所谓差日子，大约25年来一次。这意味着银行每过25年就要重新充实一次资本金。这里指的银行包括商业银行和投资银行。Banking is fatally flawed portfolio management structure. 
  当前投资银行亏的实在太多了，光靠自己几乎无法再充实资本金。"			
20081210 FOMC Greenbook	过去六周的经济数据显示经济进入了更加深度的衰退。就业/IP/消费/投资比预期还要糟糕。金融市场也很弱。看起来2008Q4的年化GDP增速为-4.75%，2009Q1是-5%，这比我们六周以前的预测要弱非常多。			
20081211 FOMC Bluebook			市场预期ffr相比六周前大幅下降，已经跌至0.25%, 预计2009年底回到接近1%，2010年回到1.5%	
20081211 GS Daily Putting Some Numbers on Economic Stimulus Legislation 	当前民主党国会议员提出的财政刺激方案是7000亿美元，我们基准预期是6000亿美元。法案将于2009年1月预计通过。			
20081212 BCA.gis GIS_12dec08_SO_P1of2	2008Q4的主题是Debt deflation, Monetary Reflation and Economic Adjustments			
20081213 GS UEA Desperately Seeking Holiday Cheer	消费方面有一些好消息，11月核心零售数据有回升。当然，其他数据仍然广泛不好，首申继续很差。			
20081216 FOMC Transcript	"伯南克：
  联储已经做的各类流动性操作与日本的量化宽松很不用。联储操作的是资产端，而日本央行是操作中央银行的liability side，给商业银行很多储备金，促使商业银行放款。I think that the verdict on quantitative easing is fairly negative. It didn't seem to have a great deal of effect, mostly because banks would not lend out the reserves that they were holding (那伯南克怎么解释后来联储也开始QE？)
  首先总价大家的看法。大家都认为经济进入衰退衰退，下行风险很大... 金融市场仍然没有正常运作，去杠杆是增长的强力拖累，违约率在上升...
  下面说一下我个人看法。NBER终于确认了衰退在2007年12月开始。本次衰退可能比1974-75,1981-82年要大。有3点：1.金融方面。当前的股市下跌与2001年股市下跌、金融条件收紧有一定相似，但本次更严重一些。家庭财富受损更大，信贷市场难以正常运作。2.货币政策方面。1974-75和1981-82年衰退是货币政策收紧带来的，货币随后的宽松把经济带出衰退。但当前并不是货币收紧导致的，而是其他原因。3.全球同步大幅放缓。"		本来降息表决的投票中，Fisher是反对票，但在午餐以后，Fisher表示改投赞成票，in order to maintain a united front with the Committee. Plosser: with some reluctance, I will vote yes. 	
20081217 Barclays_Global_Outlook_Implications_for_Financial_Markets_December_2008	美国经济处于1980s以来最严重的的衰退中。当然这已经是市场共识，市场已经price in了很多差消息。本次衰退的特点是Sudden and sharp。在1980s以来，周期变平滑，也被称之为great moderation，结果现在波动这么大，大家都没做好准备。未来一段时间可能继续有很多坏消息，投资者应当谨慎。			
20081217 Gavekal The Fed’s Monetary Tsunami	当前的经济困难是史无前例的，而当前的政策刺激也是史无前例的——联储在昨天已经表示了潜在的无限货币扩张。这两个都很强的力量（经济下行压力和政策推力）使得很难预期其结果。但终究还是会有个结果。我们与投资者讨论，发现大部分人还是怀疑政策的效果。（这个观察是挺好的，两股相反的、本身都很强的力量，难以事前预判结果）			
20081220 GS UEA A New Year Brings More Policy Measures	"虽然市场表现震荡，但实际上政策一直在加码。1.新的白宫团队受评价较高。2.TARP继续使用。3.财政刺激规模提议不断上升。4.对房地产继续帮助。
  联储也承诺保持低利率for ""some time""，并表示可能实现资产负债表工具。
  不过欧洲财政还有继续发力空间。"			
20081222 bwam The return of bonds when yield are low	"当前美债10年期收益率已经跌至2.17%。但实际上，我们发现全球金融历史上，凡是一个国家长债收益率跌破3%以下以后，其实后来的债券回报是不错的。因为这（这种破位下跌）通常意味着通缩环境，收益率还会再降，股市回报不佳，使得债券跑赢股票。（但实际上股票应该还是很快跑赢了债券吧！）
  实际上，回顾英国国债收益率，UK consol yields，在1700年以来，大部分时候并不高，1970年前后那只是一个例外。（桥水的看法其实很好，但对2009年显然非常不适用。趋势性观点不能用于短期周期走势。桥水既然分析的是长期趋势，这个就适用于长期问题。后面桥水也反复说，一旦联储退出QE，经济就会走弱。桥水的去杠杆的大趋势把握的很好）（但平心而论，后来很长时间收益率应该都没有跌回到2%的这样低水平。就2019年12月的1.7%也是在当前看认为是很低的水平。因此桥水的这个长期观点是顺周期的。但估计桥水并没有按照这个观点去trade，不然亏死）"			
